n,wr,total_pips,pf,avg,tf,pair,strat,spread,bars
458,1.3100436681222707,-4202.853503337138,0.046611541859728704,-9.176536033487201,M15,USDJPY,cci_trend,13,5000
483,1.2422360248447204,-5153.557570141511,0.030087170288534106,-10.669891449568345,M30,USDCHF,williams_r,12,5000
1181,1.100762066045724,-8636.056999111213,0.030086362249900182,-7.312495342177149,M15,EURUSD,3ema_stack,9,5000
1012,1.0869565217391304,-7538.6835202554375,0.025187845639859194,-7.449292016062685,M15,AUDUSD,hull_ma,9,5000
389,0.7712082262210797,-3880.1818448706213,0.018355110748166894,-9.974760526659695,M15,USDJPY,psar,13,5000
138,0.7246376811594203,-1112.3343528840423,0.01417097254904842,-8.060393861478568,M15,AUDUSD,adx_di,9,5000
1296,0.6944444444444444,-11839.984528851614,0.02826660187778375,-9.135790531521307,M15,USDJPY,3ema_stack,13,5000
180,0.5555555555555556,-1452.1367650551335,0.011590638930054903,-8.06742647252852,M15,AUDUSD,breakout_retest,9,5000
1103,0.3626473254759746,-7555.401930642071,0.009091167302430314,-6.849865757608406,M15,USDCHF,hull_ma,12,5000
1449,0.06901311249137336,-10181.826050271557,0.0025064514954808276,-7.026795065749867,M15,USDCHF,3ema_stack,12,5000
45,0.0,-311.73991485085577,0.0,-6.9275536633523505,M15,AUDUSD,bb_squeeze,9,5000
53,0.0,-312.33524963813034,0.0,-5.893117917700573,M15,USDCHF,bb_squeeze,12,5000
44,0.0,-315.3673470166163,0.0,-7.167439704923098,M15,USDCHF,dual_ma_adx,12,5000
58,0.0,-367.8823454834923,0.0,-6.342799060060212,M15,EURUSD,bb_squeeze,9,5000
51,0.0,-501.20405026692083,0.0,-9.827530397390605,M15,USDJPY,bb_squeeze,13,5000
57,0.0,-507.7158072146948,0.0,-8.907294863415698,M15,GBPUSD,bb_squeeze,10,5000
55,0.0,-583.332033679501,0.0,-10.606036975990929,M30,USDCHF,bb_squeeze,12,5000
141,0.0,-1039.3769036724475,0.0,-7.371467401932252,M15,USDCHF,adx_di,12,5000
110,0.0,-1045.6079512880456,0.0,-9.505526829891323,M15,USDCHF,ichimoku,12,5000
175,0.0,-1242.7301156933022,0.0,-7.10131494681887,M15,USDCHF,breakout_retest,12,5000
366,0.0,-2548.2978202643044,0.0,-6.962562350448919,M15,USDCHF,vol_breakout,12,5000
445,0.0,-3069.4933450512085,0.0,-6.8977378540476595,M15,USDCHF,psar,12,5000
492,0.0,-3370.4865940508894,0.0,-6.850582508233515,M15,USDCHF,cci_trend,12,5000
