n,wr,total_pips,pf,avg,tf,pair,strat,params,spread,bars
206,30.582524271844658,-9842.172290395092,0.9317732899987585,-47.77753539026744,M15,XAUUSD,keltner,"(20, 1.0, 14, 1.0, 2.0)",28,5000
33,30.303030303030305,-6597.099901631373,0.9074275331903006,-199.91211823125371,M30,XAUUSD,ema_macd,"(5, 13, 50, 14, 2.0, 4.0)",28,5000
60,30.0,-3183.158998572646,0.6168731923325833,-53.052649976210766,D1,GBPUSD,rsi,"(14, 75, 25, 14, 2.0, 3.0)",8,2284
98,29.591836734693878,-2122.9263123204214,0.6879100934063748,-21.662513391024707,D1,AUDUSD,donchian,"(20, 14, 1.5, 2.5)",9,2284
17,29.411764705882355,-91.53241049571648,0.710632193724559,-5.384259440924499,M30,USDJPY,supertrend,"(10, 3.0, 14, 2.0, 3.0)",13,5000
14,28.57142857142857,-181.8310012980651,0.30046435250114556,-12.987928664147507,M30,EURUSD,supertrend,"(14, 3.0, 14, 2.5, 4.0)",9,5000
14,28.57142857142857,-222.49866773865085,0.21519936054115948,-15.892761981332203,M30,AUDUSD,supertrend,"(14, 3.0, 14, 2.5, 4.0)",9,5000
28,28.57142857142857,-11227.463683536098,0.7613764625949075,-400.98084584057494,M30,XAUUSD,ema_macd,"(8, 21, 100, 14, 1.5, 2.5)",28,5000
39,28.205128205128204,-26883.374451856525,0.6220456852058652,-689.3172936373468,M30,XAUUSD,ema_macd,"(5, 13, 50, 14, 1.5, 2.5)",28,5000
327,28.134556574923547,-35988.863920194286,0.8476996248023053,-110.05768782934032,M15,XAUUSD,donchian,"(10, 14, 1.0, 2.0)",28,5000
76,27.631578947368425,-35286.03944368046,0.6215956070933197,-464.2899926800061,M15,XAUUSD,rsi,"(14, 80, 20, 14, 1.5, 2.5)",28,5000
40,27.500000000000004,-17180.022719825138,0.6784968306104986,-429.50056799562844,M15,XAUUSD,ema_macd,"(5, 13, 50, 14, 2.0, 3.0)",28,5000
40,27.500000000000004,-32951.4730578293,0.5684169225622472,-823.7868264457326,M30,XAUUSD,ema_macd,"(5, 13, 50, 10, 1.5, 2.5)",28,5000
11,27.27272727272727,-434.98609545845625,0.5922066603568708,-39.544190496223294,D1,EURUSD,ema_macd,"(8, 21, 100, 14, 1.5, 2.5)",0,3730
81,27.160493827160494,-2178.645983177442,0.6185751861584199,-26.89686398984496,D1,AUDUSD,rsi,"(14, 70, 30, 14, 1.5, 2.5)",9,2284
154,26.623376623376622,-1569.8619708339888,0.7806712618992926,-10.193908901519409,D1,AUDUSD,donchian,"(10, 14, 1.0, 2.0)",9,2284
34,26.47058823529412,-175.20673778512628,0.6337053064986897,-5.153139346621361,M30,AUDUSD,ema_macd,"(5, 13, 50, 14, 2.0, 4.0)",9,5000
34,26.47058823529412,-216.02037057125602,0.5483785816189372,-6.3535403109192945,M30,AUDUSD,ema_macd,"(5, 13, 50, 14, 2.0, 3.0)",9,5000
